//File list of W01 used for Mario Party 4
File ID, Name, Space ID (to attach), Display
1, Background, -1, True,
2, Floor, -1, True,
3, CircleEvent, -1, False,
4, CircleCupEvent, -1, False,
5, LampPost, -1, False,
6, RollerCoasterPath, -1, False,
7, GlareEffect, -1, False,
8, RollerCoaster, -1, False,
9, RollerCoasterLoop, -1, True,
10, RollerCoasterAnimation, -1, False,
11, BackgroundTrain, -1, True,
12, EventHappening, -1, False,
13, Unknown, -1, False,
14, Unknown, -1, False,
15, Unknown, -1, False,
16, Rocket, -1, False,
17, Particle, -1, False,
18, PoliceSiren, -1, False,
19, WaterRipple, -1, False,
20, UI Element, -1, False,
21, MerryGoRoundBG, -1, False,
22, MerryGoRound, -1, False,
23, ToadStatue, -1, False,
24, ToadStatue, -1, False,
25, MerryGoRoundPart, -1, False,
26, MerryGoRoundPart, -1, False,
27, MerryGoRoundPart, -1, False,
29, ToadHost, -1, False,
